Position_um,Timestamp
17649.829145728643,2025-12-11 15:18:37.926566
17651.8391959799,2025-12-11 15:18:42.253217
17653.849246231155,2025-12-11 15:18:46.573136
17655.859296482413,2025-12-11 15:18:50.894680
17657.869346733667,2025-12-11 15:18:55.233342
17659.879396984925,2025-12-11 15:18:59.554046
17661.889447236183,2025-12-11 15:19:03.858703
17663.899497487437,2025-12-11 15:19:08.189344
17665.909547738695,2025-12-11 15:19:12.513271
17667.91959798995,2025-12-11 15:19:16.841705
17669.929648241206,2025-12-11 15:19:21.167388
17671.93969849246,2025-12-11 15:19:25.484151
17673.94974874372,2025-12-11 15:19:29.811059
17675.959798994976,2025-12-11 15:19:34.110706
17677.96984924623,2025-12-11 15:19:38.425330
17679.979899497488,2025-12-11 15:19:42.742391
17681.989949748742,2025-12-11 15:19:47.059175
17684.0,2025-12-11 15:19:51.374715
